"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","2006-2010","AAMR (per 100,000)","Lung Cancer Deaths",-6666
"Andover","0901301080","2006-2010","Crude Rate (per 100,000)","Lung Cancer Deaths",24.65
"Andover","0901301080","2006-2010","Number","Lung Cancer Deaths",4
"Andover","0901301080","2007-2011","AAMR (per 100,000)","Lung Cancer Deaths",-6666
"Andover","0901301080","2007-2011","Crude Rate (per 100,000)","Lung Cancer Deaths",31.82
"Andover","0901301080","2007-2011","Number","Lung Cancer Deaths",5
"Andover","0901301080","2008-2012","AAMR (per 100,000)","Lung Cancer Deaths",-6666
"Andover","0901301080","2008-2012","Crude Rate (per 100,000)","Lung Cancer Deaths",30.28
"Andover","0901301080","2008-2012","Number","Lung Cancer Deaths",5
"Ansonia","0900901220","2006-2010","AAMR (per 100,000)","Lung Cancer Deaths",57.72
"Ansonia","0900901220","2006-2010","Crude Rate (per 100,000)","Lung Cancer Deaths",57.4
"Ansonia","0900901220","2006-2010","Number","Lung Cancer Deaths",55
"Ansonia","0900901220","2007-2011","AAMR (per 100,000)","Lung Cancer Deaths",63.05
"Ansonia","0900901220","2007-2011","Crude Rate (per 100,000)","Lung Cancer Deaths",64.61
"Ansonia","0900901220","2007-2011","Number","Lung Cancer Deaths",62
"Ansonia","0900901220","2008-2012","AAMR (per 100,000)","Lung Cancer Deaths",55.05
"Ansonia","0900901220","2008-2012","Crude Rate (per 100,000)","Lung Cancer Deaths",61.3
"Ansonia","0900901220","2008-2012","Number","Lung Cancer Deaths",59
"Ashford","0901501430","2006-2010","AAMR (per 100,000)","Lung Cancer Deaths",-6666
"Ashford","0901501430","2006-2010","Crude Rate (per 100,000)","Lung Cancer Deaths",46.3
"Ashford","0901501430","2006-2010","Number","Lung Cancer Deaths",10
"Ashford","0901501430","2007-2011","AAMR (per 100,000)","Lung Cancer Deaths",-6666
"Ashford","0901501430","2007-2011","Crude Rate (per 100,000)","Lung Cancer Deaths",41.77
"Ashford","0901501430","2007-2011","Number","Lung Cancer Deaths",9
"Ashford","0901501430","2008-2012","AAMR (per 100,000)","Lung Cancer Deaths",-6666
"Ashford","0901501430","2008-2012","Crude Rate (per 100,000)","Lung Cancer Deaths",37.05
"Ashford","0901501430","2008-2012","Number","Lung Cancer Deaths",8
"Avon","0900302060","2006-2010","AAMR (per 100,000)","Lung Cancer Deaths",38.26
"Avon","0900302060","2006-2010","Crude Rate (per 100,000)","Lung Cancer Deaths",52.04
"Avon","0900302060","2006-2010","Number","Lung Cancer Deaths",46
"Avon","0900302060","2007-2011","AAMR (per 100,000)","Lung Cancer Deaths",35.96
"Avon","0900302060","2007-2011","Crude Rate (per 100,000)","Lung Cancer Deaths",45.92
"Avon","0900302060","2007-2011","Number","Lung Cancer Deaths",41
"Avon","0900302060","2008-2012","AAMR (per 100,000)","Lung Cancer Deaths",27.36
"Avon","0900302060","2008-2012","Crude Rate (per 100,000)","Lung Cancer Deaths",37.57
"Avon","0900302060","2008-2012","Number","Lung Cancer Deaths",34
"Barkhamsted","0900502760","2006-2010","AAMR (per 100,000)","Lung Cancer Deaths",-6666
"Barkhamsted","0900502760","2006-2010","Crude Rate (per 100,000)","Lung Cancer Deaths",31.74
"Barkhamsted","0900502760","2006-2010","Number","Lung Cancer Deaths",6
"Barkhamsted","0900502760","2007-2011","AAMR (per 100,000)","Lung Cancer Deaths",-6666
"Barkhamsted","0900502760","2007-2011","Crude Rate (per 100,000)","Lung Cancer Deaths",37.01
"Barkhamsted","0900502760","2007-2011","Number","Lung Cancer Deaths",7
"Barkhamsted","0900502760","2008-2012","AAMR (per 100,000)","Lung Cancer Deaths",-6666
"Barkhamsted","0900502760","2008-2012","Crude Rate (per 100,000)","Lung Cancer Deaths",42.15
"Barkhamsted","0900502760","2008-2012","Number","Lung Cancer Deaths",8
"Beacon Falls","0900903250","2006-2010","AAMR (per 100,000)","Lung Cancer Deaths",69.99
"Beacon Falls","0900903250","2006-2010","Crude Rate (per 100,000)","Lung Cancer Deaths",67.69
"Beacon Falls","0900903250","2006-2010","Number","Lung Cancer Deaths",20
"Beacon Falls","0900903250","2007-2011","AAMR (per 100,000)","Lung Cancer Deaths",77.37
"Beacon Falls","0900903250","2007-2011","Crude Rate (per 100,000)","Lung Cancer Deaths",73.71
"Beacon Falls","0900903250","2007-2011","Number","Lung Cancer Deaths",22
"Beacon Falls","0900903250","2008-2012","AAMR (per 100,000)","Lung Cancer Deaths",72.26
"Beacon Falls","0900903250","2008-2012","Crude Rate (per 100,000)","Lung Cancer Deaths",72.74
"Beacon Falls","0900903250","2008-2012","Number","Lung Cancer Deaths",22
"Berlin","0900304300","2006-2010","AAMR (per 100,000)","Lung Cancer Deaths",38.68
"Berlin","0900304300","2006-2010","Crude Rate (per 100,000)","Lung Cancer Deaths",50.02
"Berlin","0900304300","2006-2010","Number","Lung Cancer Deaths",49
"Berlin","0900304300","2007-2011","AAMR (per 100,000)","Lung Cancer Deaths",44.25
"Berlin","0900304300","2007-2011","Crude Rate (per 100,000)","Lung Cancer Deaths",56.87
"Berlin","0900304300","2007-2011","Number","Lung Cancer Deaths",56
"Berlin","0900304300","2008-2012","AAMR (per 100,000)","Lung Cancer Deaths",39.44
"Berlin","0900304300","2008-2012","Crude Rate (per 100,000)","Lung Cancer Deaths",60.4
"Berlin","0900304300","2008-2012","Number","Lung Cancer Deaths",60
"Bethany","0900904580","2006-2010","AAMR (per 100,000)","Lung Cancer Deaths",-6666
"Bethany","0900904580","2006-2010","Crude Rate (per 100,000)","Lung Cancer Deaths",29.27
"Bethany","0900904580","2006-2010","Number","Lung Cancer Deaths",8
